kgmt_station,kgmt_name,ag_station,ag_name,distance_km
kgmt_25,PCP #2,ag_167673,№179 mektep,2.819063012532228
kgmt_26,PCP #29,ag_167641,№61 mektep,0.9733142002959629
kgmt_27,PCP #31,ag_167642,Almaty şipazhaiy,1.3654500010568142
kgmt_28,PCP #30,ag_167689,№22 Qalalyq emhana,0.6586890714157444
kgmt_55,PCP #27,ag_167709,№171 mektep,0.007480454068834859
kgmt_56,PCP #1,ag_167257,Abai – Seifullin ,0.3694955684744332
kgmt_57,PCP #4,ag_167646,№16 äskeri qalaşıq (Süyinbai d.),0.6814925460812391
kgmt_58,PCP #3,ag_166943,Almaty Arena,0.6009070276734769
kgmt_59,PCP #6,ag_167264,Vagjanov - Jansugurov k-si ,0.6705404708466302
kgmt_60,PCP #5,ag_170429,Duman 2 (Mercur Grad) ,1.0841881301090603
kgmt_97,PCP #28,ag_167637,№142 mektep,0.7941885169855862
