station_id,pm25,median,lat,lon,station_name,cluster_id,cluster_name,n,spatial_block
ag_166942,33.89438695163105,27.7,43.2938,77.2347,"Talǵar, Gagarin atyndaǵy №8 mektep",6,East Suburbs (Talgar),889,3
ag_166943,36.81610244988864,32.75,43.2639,76.8193,Almaty Arena,5,West Central,898,1
ag_167207,32.749003359462485,30.33,43.3838,77.1163,"Panfilovo, №33 mektep",6,East Suburbs (Talgar),893,3
ag_167209,21.599064994298747,21.53,43.2018,76.9368,Köktem şipazhaiy,0,South Foothills,877,0
ag_167213,26.71614857142857,26.57,43.2747,76.9808,Şuhov at. skver,4,City Center,875,2
ag_167214,23.21016685205784,23.5,43.2618,76.9186,Maqataev – Muratbaev,4,City Center,899,0
ag_167215,19.161277842907385,17.93,43.2035,76.8869,Orbita 1 (Navoi k-si) ,2,South Central,853,0
ag_167216,25.26484983314794,25.63,43.2634,76.9319,Mega Park,4,City Center,899,0
ag_167221,42.9493429844098,32.9,43.3581,76.9794,Bekmahanov – Süyinbai,7,North Central,898,2
ag_167254,40.51525027808676,33.87,43.3238,76.9111,Ainabulaq (Jumabayev k-si) ,7,North Central,899,2
ag_167255,22.04044167610419,21.17,43.2049,76.8999,Almağül (Serkebaev – Strauss),2,South Central,883,0
ag_167257,24.6507786429366,24.63,43.241181,76.933831,Abai – Seifullin ,4,City Center,899,0
ag_167258,46.901751152073736,32.35,43.450782,76.943029,"Kókqaınar auyly, №29 mektep",9,Far North,868,4
ag_167259,22.292170978627677,21.8,43.2362,76.9652,Kerei Janibek k-si – Gornyi t.,4,City Center,889,0
ag_167263,40.56530066815144,33.515,43.3179,76.9374,Ayajan (Talas k-si),7,North Central,898,2
ag_167264,42.81691879866519,35.63,43.3054,76.9312,Vagjanov - Jansugurov k-si ,7,North Central,899,2
ag_167265,30.0730289532294,29.285,43.3251,76.9866,Jas Qanat,7,North Central,898,2
ag_167266,30.2403125,27.385,43.303307,77.185303,"Qyzylqaırat , №19 mektep gimnaziya",6,East Suburbs (Talgar),864,3
ag_167270,34.884627363737486,30.3,43.3503,76.9888,Altai 2,7,North Central,899,2
ag_167415,28.588697142857143,27.77,43.2406,76.8824,Turğyt Özal – Yesenzhanov,3,West Residential,875,0
ag_167417,21.466740823136817,20.83,43.2452,76.9075,Jambyl – Nurmaqov,4,City Center,899,0
ag_167418,34.89070077864294,30.2,43.3115,76.9015,№170 Böbekjai balabaqşasy,7,North Central,899,2
ag_167419,20.533643586833144,18.6,43.1729,76.8154,Tastybulaq (Kazgiprozem),1,Southwest Suburbs,881,1
ag_167420,23.89349658314351,22.27,43.2777,77.0055,Duman (Arys k-si) ,4,City Center,878,2
ag_167422,26.15582175925926,24.785,43.3121,77.098,"Belbulak, №32 mektep",6,East Suburbs (Talgar),864,3
ag_167424,24.183214682981088,23.63,43.2337,76.8642,5-şi şağyn audan ,3,West Residential,899,1
ag_167428,56.13285714285714,40.0,43.2904,76.8507,Şanyraq 2 (Baldáuren k-si) ,5,West Central,847,1
ag_167430,43.54578947368421,31.17,43.3958,76.9865,AKPTiT kolledj ,9,Far North,874,4
ag_167431,41.88234822451317,34.4,43.2706,76.8612,Samğau ş.a. (Kokorai k-si) ,5,West Central,873,1
ag_167432,24.67561872909699,25.17,43.2537,76.9064,Qazybek bi – Nurmaqov,4,City Center,897,0
ag_167433,24.859296089385477,23.53,43.2414,76.8608,Sairan (Ötegen batyr k-si),3,West Residential,895,1
ag_167435,44.07295194508009,34.78,43.358,76.9792,Süyinbai 487,7,North Central,874,2
ag_167436,21.342265446224257,19.435,43.1933,76.9035,Qazaqfilm (Baiydosov k-si),2,South Central,874,0
ag_167437,42.02329988851728,35.2,43.2636,76.8336,Aqbulaq (Baiqonyrov k-si) ,5,West Central,897,1
ag_167580,20.984426787741203,20.37,43.2355,76.9113,№12 Qalalyq emhana,2,South Central,881,0
ag_167584,22.293603192702395,22.33,43.2497,76.9458,GATOB,4,City Center,877,0
ag_167585,41.24571906354515,33.43,43.3782,76.8364,"QazTSIK, №40 mektep",5,West Central,897,4
ag_167586,45.488235955056176,32.02,43.4134,76.914,"Tuıimebaev auyly, №19 mektep ",9,Far North,890,4
ag_167589,24.283092324805335,24.57,43.2536,76.9283,Qalalyq kardiologiya ortalyğı,4,City Center,899,0
ag_167590,22.051224719101125,21.12,43.219879,76.859159,№86 mektep-gimnaziya,3,West Residential,890,1
ag_167592,23.043170189099,22.6,43.2114,76.8434,Mamyr 1,3,West Residential,899,1
ag_167593,20.43623421354765,19.53,43.2019,76.8766,№4 Qalalyq emhana (Orbita 3),2,South Central,871,0
ag_167594,30.44923248053393,29.4,43.2499,76.8143,№178 mektep,3,West Residential,899,1
ag_167596,21.633199541284405,21.235,43.2103,76.9083,Ońtústik saıabaǵy | MOST hub ,2,South Central,872,0
ag_167597,27.70664383561644,26.83,43.2373,76.8333,№42 mektep,3,West Residential,876,1
ag_167598,22.19787570621469,21.4,43.2255,76.8685,№116 mektep,3,West Residential,885,0
ag_167601,22.276711864406774,22.0,43.1793,76.7701,"Kyrgauyldy auyly, Orta mektep",1,Southwest Suburbs,885,1
ag_167602,20.94811858608894,20.0,43.1919,76.9681,№47 mektep,0,South Foothills,877,0
ag_167604,22.37198208286674,22.17,43.201,76.9136,Almaty oblystyq №1 balalar uyi,2,South Central,893,0
ag_167605,34.74923167848699,31.965,43.3322,76.6498,Qoşmambet orta mektebi,8,Far West,846,1
ag_167608,23.183382352941177,23.865,43.1885,76.9304,Ermensai (Araily k-si),0,South Foothills,884,0
ag_167613,36.62355712603063,33.13,43.3239,77.0644,"Tuzdybastau, №13 mektep ",6,East Suburbs (Talgar),849,3
ag_167614,22.89697004608295,23.115,43.2267,76.9217,Al Farabi Universiteti,2,South Central,868,0
ag_167615,23.028744343891404,22.775,43.1658,76.8962,№7 Su Elektr Stansiäsy,0,South Foothills,884,0
ag_167616,24.683863898500576,24.63,43.2169,76.8901,№63 orta mektep,2,South Central,867,0
ag_167618,22.458600223964165,22.43,43.2645,76.9727,Ortalyq demalys sayabağy,4,City Center,893,0
ag_167630,26.57287573964497,26.07,43.2209,76.8362,№153 mektep-gimnaziya,3,West Residential,845,1
ag_167634,25.88842105263158,25.57,43.2662,76.986,Kensai (Şoqai k-si),4,City Center,893,0
ag_167637,35.79106785317019,30.5,43.3611,76.9966,№142 mektep,7,North Central,899,2
ag_167639,47.77545977011494,34.6,43.3549,76.9524,№85 mektep ,7,North Central,870,2
ag_167641,44.18580571428571,33.77,43.3299,76.9477,№61 mektep,7,North Central,875,2
ag_167642,21.00867497168743,20.27,43.1759,76.8726,Almaty şipazhaiy,0,South Foothills,883,0
ag_167643,36.92806451612904,32.3,43.3364,76.9775,№170 mektep,7,North Central,899,2
ag_167644,29.592723112128148,28.95,43.263037,76.957877,Rahat Konditerlik fabrikasy,4,City Center,874,0
ag_167645,24.638994285714286,25.1,43.2886,76.9765,№98 mektep,4,City Center,875,2
ag_167646,35.398798665183534,30.53,43.3695,76.9869,№16 äskeri qalaşıq (Süyinbai d.),7,North Central,899,2
ag_167647,47.25363737486095,35.73,43.3454,76.9588,№11 orta mektep,7,North Central,899,2
ag_167649,22.91208286674132,22.4,43.1934,76.8186,Nurtau golf club,1,Southwest Suburbs,893,1
ag_167650,27.19995495495496,26.185,43.198,76.7905,№200 mektep-gimnaziya,1,Southwest Suburbs,888,1
ag_167651,30.469821826280626,30.08,43.3038,76.837,Saiyalı (Avtotsón) ,5,West Central,898,1
ag_167652,28.271993318485524,28.1,43.2668,76.8949,Saudakent (Kazakov k-si),4,City Center,898,0
