block,model,n,MAE,RMSE,R2
0,IDW,38,7.491804604907626,7.996000719249894,-5.02904213620046
0,Linear,38,4.317050555756535,4.824539162688213,-1.194897997447391
0,Quadratic,38,3.8055844044831417,4.4498593029193145,-0.8672188763444635
0,RF_coordinates,38,4.619901503485915,5.768377269799777,-2.1376896400742487
0,XGB_coordinates,38,1.9616805856174737,2.358525008086293,0.4754539256265866
1,IDW,28,4.884001456628253,7.94830300272085,0.1453550111632349
1,Linear,28,5.281011715935728,7.719323426592807,0.19388798193770818
1,Quadratic,28,4.3426288385204765,6.809573651398845,0.3726978674539734
1,RF_coordinates,28,6.009917011446361,8.153532656019344,0.1006503896668447
1,XGB_coordinates,28,5.874170915470269,7.988753306911333,0.13663400045110752
2,IDW,28,7.342395548299548,8.900080520604977,-0.6969403216581203
2,Linear,28,4.7865765856102005,5.667355010062735,0.3119190502811371
2,Quadratic,28,4.539866523033851,5.3195651462259645,0.39377902131219644
2,RF_coordinates,28,4.940595587271889,5.996997319612711,0.22954654493041193
2,XGB_coordinates,28,5.504012103131838,6.320487394936087,0.14418511320492478
3,IDW,6,2.939276868599947,3.3873995853749324,-0.020249035251468595
3,Linear,6,5.879886483236504,6.398658994773905,-2.6404180947440983
3,Quadratic,6,19.69672393834362,24.311057897494734,-51.551007652411755
3,RF_coordinates,6,3.7915012045547605,4.064445008577117,-0.4688445516131792
3,XGB_coordinates,6,3.7873305658996954,4.217186171112831,-0.5813167826073875
4,IDW,7,8.341151348051167,8.764206859703108,-6.029765283522794
4,Linear,7,8.129250747395877,9.752553688022779,-7.70466947294771
4,Quadratic,7,9.030865198601997,10.586687552721207,-9.257364228995854
4,RF_coordinates,7,4.26185497011926,4.826970627679708,-1.1323814592397041
4,XGB_coordinates,7,3.7936453811757707,4.339181186401161,-0.723182022953571
