station_id,station_name,source,lat,lon,cluster_id,cluster_name,n_obs,first_utc,last_utc,parameters,x_utm_m,y_utm_m,nearest_kgmt_id,distance_to_nearest_kgmt_m,ag_neighbors_500m,ag_neighbors_1000m,ag_neighbors_2000m,ag_neighbors_5000m,distance_to_kgmt_centroid_m
ag_166942,"Talǵar, Gagarin atyndaǵy №8 mektep",airgradient,43.2938,77.2347,6,East Suburbs (Talgar),892,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,681279.2726217534,4795866.495172552,kgmt_60,19818.02242557389,0,0,0,2,25855.297223662375
ag_166943,Almaty Arena,airgradient,43.2639,76.8193,5,West Central,898,2026-03-18 20:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,647653.4862106924,4791728.023405805,kgmt_58,600.4979689604842,0,0,4,16,8674.172454344363
ag_167207,"Panfilovo, №33 mektep",airgradient,43.3838,77.1163,6,East Suburbs (Talgar),895,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,671420.872533016,4805611.635306723,kgmt_97,9268.877662377663,0,0,0,1,18880.887331557362
ag_167209,Köktem şipazhaiy,airgradient,43.2018,76.9368,0,South Foothills,880,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,657349.6942676618,4785045.705245481,kgmt_56,4012.395882008867,0,0,2,23,10708.364996724787
ag_167210,№193 mektep,airgradient,43.373,76.9431,7,North Central,779,2026-03-18 20:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,657419.2488443414,4804070.67174018,kgmt_26,3950.04635098629,0,0,1,11,8721.809170176954
ag_167213,Şuhov at. skver,airgradient,43.2747,76.9808,4,City Center,877,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,660732.6241759995,4793225.464900612,kgmt_60,1690.787671470038,0,0,4,19,5805.832628802937
ag_167214,Maqataev – Muratbaev,airgradient,43.2618,76.9186,4,City Center,901,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,655718.1616436017,4791675.041405254,kgmt_56,2936.7795870053174,0,0,4,33,3915.689564723083
ag_167215,Orbita 1 (Navoi k-si) ,airgradient,43.2035,76.8869,2,South Central,856,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,653291.3601632717,4785141.859673766,kgmt_27,2528.5036710440936,0,1,7,29,10653.876661131828
ag_167216,Mega Park,airgradient,43.2634,76.9319,4,City Center,901,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,656793.5390515384,4791877.601520125,kgmt_56,2842.100220021349,0,0,4,34,3946.834835431528
ag_167221,Bekmahanov – Süyinbai,airgradient,43.3581,76.9794,7,North Central,900,2026-03-17 23:00:00+00:00,2026-04-25 09:00:00+00:00,pm25,660399.4123665736,4802485.048205222,kgmt_57,2076.8895797462555,1,1,4,16,8510.101927381922
