station_id,lat,lon,gwr_pm25_mean,n_obs,coverage,eligible_8080
ag_166942,43.2938,77.2347,34.531485355648535,956,1.0,True
ag_166943,43.2639,76.8193,37.41474895397489,956,1.0,True
ag_167207,43.3838,77.1163,33.499264705882354,952,0.99581589958159,True
ag_167209,43.2018,76.9368,22.103347280334727,956,1.0,True
ag_167210,43.373,76.9431,25.165271966527197,956,1.0,True
ag_167213,43.2747,76.9808,27.398012552301257,956,1.0,True
ag_167214,43.2618,76.9186,23.827405857740587,956,1.0,True
ag_167215,43.2035,76.8869,19.936192468619247,956,1.0,True
ag_167216,43.2634,76.9319,25.972175732217575,956,1.0,True
ag_167221,43.3581,76.9794,43.63995815899582,956,1.0,True
ag_167254,43.3238,76.9111,40.57646443514644,956,1.0,True
ag_167255,43.2049,76.8999,22.63888888888889,954,0.997907949790795,True
ag_167257,43.241181,76.933831,25.33702928870293,956,1.0,True
ag_167258,43.450782,76.943029,47.114121338912135,956,1.0,True
ag_167259,43.2362,76.9652,22.80282722513089,955,0.9989539748953975,True
ag_167263,43.3179,76.9374,41.149267782426776,956,1.0,True
ag_167264,43.3054,76.9312,43.274790794979076,956,1.0,True
ag_167265,43.3251,76.9866,30.7173640167364,956,1.0,True
ag_167266,43.303307,77.185303,31.27026178010471,955,0.9989539748953975,True
ag_167270,43.3503,76.9888,35.45470711297071,956,1.0,True
ag_167271,43.2456,76.8348,38.20983263598326,956,1.0,True
ag_167415,43.2406,76.8824,29.146129707112973,956,1.0,True
ag_167417,43.2452,76.9075,22.114644351464435,956,1.0,True
ag_167418,43.3115,76.9015,35.089109947643976,955,0.9989539748953975,True
ag_167419,43.1729,76.8154,21.171835443037978,948,0.9916317991631799,True
ag_167420,43.2777,77.0055,24.237277486910994,955,0.9989539748953975,True
ag_167422,43.3121,77.098,26.261610878661088,956,1.0,True
ag_167423,43.1952,76.8645,25.80805439330544,956,1.0,True
ag_167424,43.2337,76.8642,24.583891213389123,956,1.0,True
ag_167428,43.2904,76.8507,57.368272251308895,955,0.9989539748953975,True
ag_167430,43.3958,76.9865,44.00345188284519,956,1.0,True
ag_167431,43.2706,76.8612,41.18628272251309,955,0.9989539748953975,True
ag_167432,43.2537,76.9064,25.229664570230607,954,0.997907949790795,True
ag_167433,43.2414,76.8608,25.269989506820565,953,0.9968619246861925,True
ag_167435,43.358,76.9792,43.63995815899582,956,1.0,True
ag_167436,43.1933,76.9035,21.917610062893083,954,0.997907949790795,True
ag_167437,43.2636,76.8336,42.325471698113205,954,0.997907949790795,True
ag_167580,43.2355,76.9113,21.442992623814543,949,0.9926778242677824,True
ag_167584,43.2497,76.9458,22.66873684210526,950,0.9937238493723849,True
ag_167585,43.3782,76.8364,41.8017819706499,954,0.997907949790795,True
ag_167586,43.4134,76.914,45.96997907949791,956,1.0,True
ag_167588,43.1944,76.8876,18.239685863874346,955,0.9989539748953975,True
ag_167589,43.2536,76.9283,24.96370292887029,956,1.0,True
ag_167590,43.219879,76.859159,22.525000000000002,956,1.0,True
ag_167592,43.2114,76.8434,23.651569037656905,956,1.0,True
ag_167593,43.2019,76.8766,20.710041841004184,956,1.0,True
ag_167594,43.2499,76.8143,30.918410041841003,956,1.0,True
ag_167595,43.214577,76.871985,17.113807531380754,956,1.0,True
ag_167596,43.2103,76.9083,21.93077731092437,952,0.99581589958159,True
ag_167597,43.2373,76.8333,28.21993569131833,933,0.9759414225941423,True
ag_167598,43.2255,76.8685,22.6165445026178,955,0.9989539748953975,True
ag_167600,43.474545,76.807185,32.518343815513624,954,0.997907949790795,True
ag_167601,43.1793,76.7701,22.958280922431868,954,0.997907949790795,True
ag_167602,43.1919,76.9681,21.47736842105263,950,0.9937238493723849,True
ag_167604,43.201,76.9136,22.976673640167366,956,1.0,True
ag_167605,43.3322,76.6498,34.27468487394958,952,0.99581589958159,True
ag_167608,43.1885,76.9304,23.769874476987447,956,1.0,True
ag_167610,43.3615,77.1367,24.53157894736842,950,0.9937238493723849,True
ag_167613,43.3239,77.0644,37.28343815513627,954,0.997907949790795,True
ag_167614,43.2267,76.9217,22.939493136219642,947,0.9905857740585774,True
ag_167615,43.1658,76.8962,23.832773109243696,952,0.99581589958159,True
ag_167616,43.2169,76.8901,25.156589958158996,956,1.0,True
ag_167617,43.3516,77.0573,39.06705020920502,956,1.0,True
ag_167618,43.2645,76.9727,23.186820083682008,956,1.0,True
ag_167619,43.2179,76.9693,18.21524861878453,905,0.946652719665272,True
ag_167621,43.374,76.6266,37.43109947643979,955,0.9989539748953975,True
ag_167622,43.3711,76.7114,38.08556818181818,880,0.9205020920502092,True
ag_167630,43.2209,76.8362,26.45873015873016,945,0.9884937238493724,True
ag_167633,43.2714,76.9568,37.95585774058578,956,1.0,True
ag_167634,43.2662,76.986,26.78294979079498,956,1.0,True
ag_167635,43.174919,76.788939,42.907531380753134,956,1.0,True
ag_167637,43.3611,76.9966,36.183891213389124,956,1.0,True
ag_167639,43.3549,76.9524,50.194842105263156,950,0.9937238493723849,True
ag_167641,43.3299,76.9477,44.867364016736396,956,1.0,True
ag_167642,43.1759,76.8726,21.76202928870293,956,1.0,True
ag_167643,43.3364,76.9775,37.595078534031416,955,0.9989539748953975,True
ag_167644,43.263037,76.957877,29.95784518828452,956,1.0,True
ag_167645,43.2886,76.9765,25.14560669456067,956,1.0,True
ag_167646,43.3695,76.9869,35.74716981132076,954,0.997907949790795,True
ag_167647,43.3454,76.9588,47.601359832635985,956,1.0,True
ag_167649,43.1934,76.8186,23.524816753926704,955,0.9989539748953975,True
