station_id,station_name,lat,lon,lat_south,lat_north,lon_west,lon_east,sw_lat,sw_lon,w_sw,se_lat,se_lon,w_se,nw_lat,nw_lon,w_nw,ne_lat,ne_lon,w_ne,nearest_grid_lat,nearest_grid_lon,distance_to_nearest_grid_km
kgmt_25,PCP #2,43.3565540000,76.8754500000,43.2500000000,43.5000000000,76.7500000000,77.0000000000,43.2500000000,76.7500000000,0.2858591888,43.2500000000,77.0000000000,0.2879248112,43.5000000000,76.7500000000,0.2123408112,43.5000000000,77.0000000000,0.2138751888,43.2500000000,77.0000000000,15.5550794758
kgmt_26,PCP #29,43.3380520000,76.9520830000,43.2500000000,43.5000000000,76.7500000000,77.0000000000,43.2500000000,76.7500000000,0.1241609971,43.2500000000,77.0000000000,0.5236310029,43.5000000000,76.7500000000,0.0675070029,43.5000000000,77.0000000000,0.2847009971,43.2500000000,77.0000000000,10.5310001525
kgmt_27,PCP #31,43.1807540000,76.8880680000,43.0000000000,43.2500000000,76.7500000000,77.0000000000,43.0000000000,76.7500000000,0.1240134924,43.0000000000,77.0000000000,0.1529705076,43.2500000000,76.7500000000,0.3237145076,43.2500000000,77.0000000000,0.3993014924,43.2500000000,77.0000000000,11.8980705479
kgmt_28,PCP #30,43.2987780000,76.8514980000,43.2500000000,43.5000000000,76.7500000000,77.0000000000,43.2500000000,76.7500000000,0.4781099111,43.2500000000,77.0000000000,0.3267780889,43.5000000000,76.7500000000,0.1158980889,43.5000000000,77.0000000000,0.0792139111,43.2500000000,76.7500000000,9.8458158142
kgmt_55,PCP #27,43.2718310000,76.8448180000,43.2500000000,43.5000000000,76.7500000000,77.0000000000,43.2500000000,76.7500000000,0.5665235481,43.2500000000,77.0000000000,0.3461524519,43.5000000000,76.7500000000,0.0542044519,43.5000000000,77.0000000000,0.0331195481,43.2500000000,76.7500000000,8.0526551306
kgmt_56,PCP #1,43.2378590000,76.9339400000,43.0000000000,43.2500000000,76.7500000000,77.0000000000,43.0000000000,76.7500000000,0.0128325514,43.0000000000,77.0000000000,0.0357314486,43.2500000000,76.7500000000,0.2514074486,43.2500000000,77.0000000000,0.7000285514,43.2500000000,77.0000000000,5.5184949935
kgmt_57,PCP #4,43.3743760000,76.9920080000,43.2500000000,43.5000000000,76.7500000000,77.0000000000,43.2500000000,76.7500000000,0.0160637921,43.2500000000,77.0000000000,0.4864322079,43.5000000000,76.7500000000,0.0159042079,43.5000000000,77.0000000000,0.4815997921,43.2500000000,77.0000000000,13.8451073905
kgmt_58,PCP #3,43.2587480000,76.8170600000,43.2500000000,43.5000000000,76.7500000000,77.0000000000,43.2500000000,76.7500000000,0.7061542541,43.2500000000,77.0000000000,0.2588537459,43.5000000000,76.7500000000,0.0256057459,43.5000000000,77.0000000000,0.0093862541,43.2500000000,76.7500000000,5.5173105891
kgmt_59,PCP #6,43.3010620000,76.9254440000,43.2500000000,43.5000000000,76.7500000000,77.0000000000,43.2500000000,76.7500000000,0.2373123444,43.2500000000,77.0000000000,0.5584396556,43.5000000000,76.7500000000,0.0609116556,43.5000000000,77.0000000000,0.1433363444,43.2500000000,77.0000000000,8.2867011801
kgmt_60,PCP #5,43.2881250000,76.9906150000,43.2500000000,43.5000000000,76.7500000000,77.0000000000,43.2500000000,76.7500000000,0.0318151500,43.2500000000,77.0000000000,0.8156848500,43.5000000000,76.7500000000,0.0057248500,43.5000000000,77.0000000000,0.1467751500,43.2500000000,77.0000000000,4.3068741369
kgmt_97,PCP #28,43.3606830000,77.0064070000,43.2500000000,43.5000000000,77.0000000000,77.2500000000,43.2500000000,77.0000000000,0.5429863357,43.2500000000,77.2500000000,0.0142816643,43.5000000000,77.0000000000,0.4313856643,43.5000000000,77.2500000000,0.0113463357,43.2500000000,77.0000000000,12.3183196285
