station_id,station_name,source,lat,lon,cluster_id,cluster_name,n_obs,first_utc,last_utc,parameters,x_utm_m,y_utm_m,nearest_airgradient_id,distance_to_nearest_airgradient_m,distance_to_kgmt_centroid_m
kgmt_25,PCP #2,kgmt,43.356554,76.87545,7,North Central,114547,2020-07-12 12:00:00+00:00,2026-04-25 09:00:00+00:00,"co,no,no2,pm10,pm25,so2,tsp",651979.5685826889,4802118.726265929,ag_167673,2821.1053791639397,7391.391118040239
kgmt_26,PCP #29,kgmt,43.338052,76.952083,7,North Central,168079,2020-07-12 12:00:00+00:00,2026-04-25 09:00:00+00:00,"co,no,no2,pm10,pm25,so2",658237.8372436534,4800206.376305375,ag_167641,972.8458915428441,5414.262089749489
kgmt_27,PCP #31,kgmt,43.180754,76.888068,0,South Foothills,191762,2020-07-12 12:00:00+00:00,2026-04-25 09:00:00+00:00,"co,no,no2,o3,pm10,pm25,so2",653443.2458383173,4782617.921965304,ag_167642,1368.2081629109969,13112.568332575485
kgmt_28,PCP #30,kgmt,43.298778,76.851498,5,West Central,178115,2020-07-12 12:00:00+00:00,2026-04-25 09:00:00+00:00,"co,no,no2,o3,pm10,pm25,so2",650180.8718684025,4795658.874003133,ag_167689,658.1172376896214,5245.289572468304
kgmt_55,PCP #27,kgmt,43.271831,76.844818,5,West Central,80730,2020-07-12 12:00:00+00:00,2026-04-25 09:00:00+00:00,"co,no,no2,pm10,pm25,tsp",649705.1136843049,4792654.219670966,ag_167709,7.494035125544537,6425.1450866136165
kgmt_56,PCP #1,kgmt,43.237859,76.93394,4,City Center,197173,2020-07-12 12:00:00+00:00,2026-04-25 08:00:00+00:00,"co,no,no2,pm10,pm25,so2,tsp",657024.7368876205,4789044.920595411,ag_167257,369.13604662249014,6727.687978344268
kgmt_57,PCP #4,kgmt,43.374376,76.992008,7,North Central,197476,2020-11-01 07:00:00+00:00,2026-04-25 09:00:00+00:00,"co,no,no2,pm10,pm25,so2,tsp",661377.9470601913,4804316.970741752,ag_167646,681.7458998590392,10572.099545419014
kgmt_58,PCP #3,kgmt,43.258748,76.81706,5,West Central,176771,2020-07-12 12:00:00+00:00,2026-04-25 09:00:00+00:00,"co,no,no2,pm10,pm25,so2,tsp",647484.12489485,4791151.903144556,ag_166943,600.4979689604842,9092.44735192839
kgmt_59,PCP #6,kgmt,43.301062,76.925444,7,North Central,165006,2020-07-12 12:00:00+00:00,2026-04-11 06:00:00+00:00,"co,no,no2,pm10,pm25,so2",656173.1529844983,4796048.162044229,ag_167264,671.0473036452703,882.193807080787
kgmt_60,PCP #5,kgmt,43.288125,76.990615,4,City Center,194201,2020-07-12 12:00:00+00:00,2026-04-25 09:00:00+00:00,"co,no,no2,pm10,pm25,so2,tsp",661493.5576717918,4794735.346738696,ag_170429,1087.0238310502323,6126.4677577009625
kgmt_97,PCP #28,kgmt,43.360683,77.006407,7,North Central,176983,2020-07-12 12:00:00+00:00,2026-04-25 09:00:00+00:00,"co,no,no2,pm10,pm25,so2",662581.0597219173,4802824.198745139,ag_167637,796.2641311442775,10182.467914119563
