target,horizon,ablation,model,n_train,n_val,n_test,MAE,RMSE,R2
pm25,1,A0_history,Persistence,81990,29253,41999,6.452426486344914,17.444910567749524,0.6991340461965636
pm25,1,A0_history,SeasonalNaive168,81990,29253,41999,13.498958308531156,30.416399145400312,0.08535798322037846
pm25,1,A0_history,Ridge,81990,29253,41999,6.72593344695016,16.855704012146536,0.7191144850331515
pm25,1,A0_history,RandomForest,81990,29253,41999,6.174206555620712,15.672168301460399,0.7571748171480228
pm25,1,A0_history,XGBoost,81990,29253,41999,6.313084607720843,15.927870737537178,0.749186449659887
pm25,1,A1_crossPM,Persistence,81990,29253,41999,6.452426486344914,17.444910567749524,0.6991340461965636
pm25,1,A1_crossPM,SeasonalNaive168,81990,29253,41999,13.498958308531156,30.416399145400312,0.08535798322037846
pm25,1,A1_crossPM,Ridge,81990,29253,41999,6.6950349809418785,16.851019021966717,0.719270605833185
pm25,1,A1_crossPM,RandomForest,81990,29253,41999,6.272555174684505,15.778085066502854,0.7538815693723452
pm25,1,A1_crossPM,XGBoost,81990,29253,41999,6.335229506351004,15.803799674456068,0.7530786840799271
pm25,24,A0_history,Persistence,74133,25474,39776,11.566219579646017,27.012097211783864,0.27600076028263665
pm25,24,A0_history,SeasonalNaive168,74133,25474,39776,13.52275140788415,30.43835893928141,0.08068579601896897
pm25,24,A0_history,Ridge,74133,25474,39776,11.601230041171393,22.638963699049146,0.49144891136232316
pm25,24,A0_history,RandomForest,74133,25474,39776,10.464688294675772,22.41728826458729,0.5013593786475017
pm25,24,A0_history,XGBoost,74133,25474,39776,10.594864010149598,22.268543666456015,0.5079546482371977
pm25,24,A1_crossPM,Persistence,74133,25474,39776,11.566219579646017,27.012097211783864,0.27600076028263665
pm25,24,A1_crossPM,SeasonalNaive168,74133,25474,39776,13.52275140788415,30.43835893928141,0.08068579601896897
pm25,24,A1_crossPM,Ridge,74133,25474,39776,11.458522555326912,22.605350776147834,0.49295792023662055
pm25,24,A1_crossPM,RandomForest,74133,25474,39776,10.532334031563424,22.473821277052277,0.49884121488428523
pm25,24,A1_crossPM,XGBoost,74133,25474,39776,10.650844240975717,22.318319346010178,0.5057525047268027
pm10,1,A0_history,Persistence,81990,29253,41999,9.196281578132814,21.36021819512538,0.8161853168486461
pm10,1,A0_history,SeasonalNaive168,81990,29253,41999,23.612021476701827,49.60810393552652,0.008542535063677636
pm10,1,A0_history,Ridge,81990,29253,41999,9.463635903459318,20.718993018282557,0.8270557534328544
pm10,1,A0_history,RandomForest,81990,29253,41999,8.86328244056132,19.509876362002316,0.8466520887179976
pm10,1,A0_history,XGBoost,81990,29253,41999,8.901468519182533,19.627536288774316,0.8447968939294601
pm10,1,A1_crossPM,Persistence,81990,29253,41999,9.196281578132814,21.36021819512538,0.8161853168486461
pm10,1,A1_crossPM,SeasonalNaive168,81990,29253,41999,23.612021476701827,49.60810393552652,0.008542535063677636
pm10,1,A1_crossPM,Ridge,81990,29253,41999,9.430781332717531,20.625362258053013,0.8286153188780896
pm10,1,A1_crossPM,RandomForest,81990,29253,41999,9.04186274712427,19.568410360444375,0.8457305522266332
pm10,1,A1_crossPM,XGBoost,81990,29253,41999,9.017041151457043,19.648103349994845,0.8444714588700993
pm10,24,A0_history,Persistence,74133,25474,39776,19.02301915728077,39.63773441277916,0.3808303779020399
pm10,24,A0_history,SeasonalNaive168,74133,25474,39776,24.07591990144811,50.3180424008866,0.0022092640630573257
pm10,24,A0_history,Ridge,74133,25474,39776,18.437466764893934,34.2746061357633,0.5370469607673036
pm10,24,A0_history,RandomForest,74133,25474,39776,17.566956155336737,34.56013599303414,0.529301429491844
pm10,24,A0_history,XGBoost,74133,25474,39776,17.557099636466447,34.21695025962903,0.5386031865460927
pm10,24,A1_crossPM,Persistence,74133,25474,39776,19.02301915728077,39.63773441277916,0.3808303779020399
pm10,24,A1_crossPM,SeasonalNaive168,74133,25474,39776,24.07591990144811,50.3180424008866,0.0022092640630573257
pm10,24,A1_crossPM,Ridge,74133,25474,39776,18.382845115765274,34.21952532814491,0.5385337371588043
pm10,24,A1_crossPM,RandomForest,74133,25474,39776,17.617350698118532,34.488264227408806,0.5312571371157755
pm10,24,A1_crossPM,XGBoost,74133,25474,39776,17.4931305173782,34.04814896263684,0.543144343358112
