target,horizon,ablation,model,validation_MAE,params
pm25,1,A0_history,Ridge,4.687957227540103,"{""alpha"": 0.1}"
pm25,1,A0_history,RandomForest,4.00035407296251,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""n_estimators"": 160}"
pm25,1,A0_history,XGBoost,4.141010305932592,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_lambda"": 2.0}"
pm25,1,A1_crossPM,Ridge,4.658464103170116,"{""alpha"": 0.1}"
pm25,1,A1_crossPM,RandomForest,4.053124128824464,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""n_estimators"": 160}"
pm25,1,A1_crossPM,XGBoost,4.164488831902594,"{""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 8, ""n_estimators"": 350, ""reg_lambda"": 2.0}"
pm25,24,A0_history,Ridge,10.476498133722316,"{""alpha"": 0.1}"
pm25,24,A0_history,RandomForest,7.307201450051631,"{""max_depth"": 12, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 220}"
pm25,24,A0_history,XGBoost,10.258873249136213,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_lambda"": 2.0}"
pm25,24,A1_crossPM,Ridge,10.374174019669459,"{""alpha"": 0.1}"
pm25,24,A1_crossPM,RandomForest,7.451159140777847,"{""max_depth"": 12, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 220}"
pm25,24,A1_crossPM,XGBoost,10.13310618593633,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_lambda"": 2.0}"
pm10,1,A0_history,Ridge,7.021883266363143,"{""alpha"": 0.1}"
pm10,1,A0_history,RandomForest,6.402242273508634,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""n_estimators"": 160}"
pm10,1,A0_history,XGBoost,6.596276578473586,"{""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 8, ""n_estimators"": 350, ""reg_lambda"": 2.0}"
pm10,1,A1_crossPM,Ridge,7.057786343288857,"{""alpha"": 0.1}"
pm10,1,A1_crossPM,RandomForest,6.635167701155532,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""n_estimators"": 160}"
pm10,1,A1_crossPM,XGBoost,6.521196086701284,"{""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 8, ""n_estimators"": 350, ""reg_lambda"": 2.0}"
pm10,24,A0_history,Ridge,16.51351683773189,"{""alpha"": 0.1}"
pm10,24,A0_history,RandomForest,14.635260468581308,"{""max_depth"": 12, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 220}"
pm10,24,A0_history,XGBoost,17.04770156179766,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_lambda"": 2.0}"
pm10,24,A1_crossPM,Ridge,16.54597266062219,"{""alpha"": 0.1}"
pm10,24,A1_crossPM,RandomForest,14.622365459241596,"{""max_depth"": 12, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 220}"
pm10,24,A1_crossPM,XGBoost,16.62755985446596,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_lambda"": 2.0}"
